"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Will Smith","Giants","6","0","2.76","63","0","0","0","34","0","4","65.1","257","46","20","20","10","21","2","0","3","0","96","8048"
"Alex Colome","White Sox","4","5","2.80","62","0","0","0","30","0","3","61.0","249","42","28","19","7","23","2","1","4","0","55","6661"
"Nick Wittgren","Indians","5","1","2.81","55","0","0","0","4","12","2","57.2","231","47","22","18","10","15","1","0","0","0","60","15594"
"Hector Rondon","Astros","3","1","2.85","61","0","0","0","0","19","3","60.0","248","51","19","19","10","19","0","3","0","0","47","2391"
"Reyes Moronta","Giants","3","7","2.86","56","0","0","0","0","15","5","56.2","246","41","19","18","4","33","1","3","3","0","70","14966"
"Michael Lorenzen","Reds","1","4","2.92","73","0","0","0","7","21","4","83.1","343","68","29","27","9","28","1","2","2","0","85","14843"
"Hector Neris","Phillies","3","6","2.93","68","0","0","0","28","2","6","67.2","275","45","24","22","10","24","1","6","2","2","89","11804"
"Trevor May","Twins","5","3","2.94","65","0","0","0","2","17","2","64.1","266","43","24","21","8","26","1","3","3","0","79","6398"
"Steve Cishek","Cubs","4","6","2.95","70","0","0","0","7","11","4","64.0","267","48","22","21","7","29","1","7","4","0","57","6483"
"Jarlin Garcia","Marlins","4","2","3.02","53","0","0","0","0","6","1","50.2","206","40","17","17","4","16","2","2","4","0","39","18282"
"Sean Newcomb","Braves","6","3","3.04","51","0","0","0","1","16","2","53.1","223","43","20","18","8","19","1","3","3","0","57","16943"
"Archie Bradley","Diamondbacks","4","4","3.07","65","0","0","0","18","7","3","70.1","306","62","26","24","5","34","2","5","0","0","85","12918"
"Diego Castillo","Rays","5","7","3.08","59","0","0","0","8","17","2","61.1","256","48","26","21","6","26","4","5","5","0","74","17496"
"Pedro Baez","Dodgers","7","2","3.10","71","0","0","0","1","25","6","69.2","276","43","30","24","6","23","1","4","0","0","69","5420"
"Ranger Suarez","Phillies","6","1","3.14","37","0","0","0","0","6","1","48.2","205","52","18","17","6","12","2","1","1","1","42","17277"
"Michael Feliz","Pirates","4","3","3.21","57","0","0","0","0","3","1","56.0","233","40","22","20","10","26","1","2","0","1","73","11903"
"Oliver Drake","Rays","5","2","3.21","50","0","0","0","2","10","1","56.0","219","36","20","20","9","19","1","1","1","0","70","8823"
"Amir Garrett","Reds","5","3","3.21","69","0","0","0","0","22","3","56.0","246","44","22","20","7","35","1","4","5","1","78","14375"
"Adam Kolarek","- - -","6","3","3.27","80","0","0","0","1","17","0","55.0","229","48","22","20","7","16","4","3","1","0","45","10843"
"Craig Stammen","Padres","8","7","3.29","76","0","0","0","4","31","9","82.0","339","80","36","30","13","15","2","2","0","0","73","7274"
"Brad Hand","Indians","6","4","3.30","60","0","0","0","34","0","5","57.1","242","53","21","21","6","18","5","4","0","0","84","9111"
"Cam Bedrosian","Angels","3","2","3.31","52","0","0","0","1","15","2","54.1","230","44","28","20","6","19","0","3","8","0","56","13360"
"Sam Dyson","- - -","5","1","3.32","61","0","0","0","2","23","2","62.1","249","53","26","23","6","13","0","3","1","0","55","11710"
"Nick Anderson","- - -","5","4","3.32","68","0","0","0","1","16","4","65.0","264","52","24","24","8","18","4","2","4","0","110","18337"
"Chris Martin","- - -","1","3","3.40","58","0","0","0","4","18","2","55.2","216","52","23","21","9","5","0","0","0","0","65","11847"
"Ian Kennedy","Royals","3","2","3.41","63","0","0","0","30","1","4","63.1","266","64","24","24","6","17","1","1","3","0","73","6986"
"Yoan Lopez","Diamondbacks","2","7","3.41","70","0","0","0","1","21","3","60.2","246","52","27","23","11","17","2","0","1","0","42","17181"
"Jalen Beeks","Rays","6","1","3.42","30","0","0","0","1","2","0","92.0","401","94","41","35","8","34","1","9","2","0","77","17192"
"Sergio Romo","- - -","2","1","3.43","65","0","0","0","20","17","3","60.1","249","50","27","23","7","17","3","2","3","1","60","9817"
"Francisco Liriano","Pirates","5","3","3.47","69","0","0","0","0","12","4","70.0","301","60","32","27","8","35","1","3","1","0","63","3201"
"Jose Alvarez","Phillies","3","4","3.47","66","0","0","0","1","16","2","57.0","246","65","25","22","8","16","3","1","3","0","51","5358"
"Kyle Ryan","Cubs","4","2","3.54","73","0","0","0","0","14","2","61.0","260","55","26","24","5","29","2","1","1","0","58","11753"
"Cory Gearrin","- - -","1","2","3.54","64","0","0","0","0","13","0","53.1","231","53","21","21","4","23","1","4","4","1","45","7947"
"Junior Guerra","Brewers","9","5","3.55","72","0","0","0","3","20","8","83.2","344","58","35","33","11","36","2","4","5","0","77","5702"
"John Brebbia","Cardinals","3","4","3.59","66","0","0","0","0","12","1","72.2","304","59","31","29","6","27","2","3","0","0","87","12777"
"Mark Melancon","- - -","5","2","3.61","66","0","0","0","12","5","0","67.1","284","71","28","27","4","18","2","2","4","0","68","4264"
"Yimi Garcia","Dodgers","1","4","3.61","64","0","0","0","0","4","3","62.1","247","40","28","25","15","14","2","6","1","1","66","12095"
"Noe Ramirez","Angels","5","2","3.64","44","0","0","0","0","3","0","59.1","245","52","24","24","8","17","1","5","2","0","69","12800"
"Tyler Kinley","Marlins","3","1","3.65","52","0","0","0","1","1","2","49.1","221","43","20","20","5","36","2","1","3","0","46","18297"
"John Gant","Cardinals","11","1","3.66","64","0","0","0","3","18","3","66.1","269","51","29","27","4","34","1","0","1","0","60","13684"
"Tyler Chatwood","Cubs","4","2","3.67","33","0","0","0","2","3","2","54.0","226","44","22","22","6","25","0","2","7","0","53","4338"
"Tommy Kahnle","Yankees","3","2","3.67","72","0","0","0","0","27","5","61.1","248","45","27","25","9","20","0","2","8","0","88","11384"
"Buck Farmer","Tigers","6","6","3.70","72","0","0","0","0","15","3","65.2","279","60","31","27","8","23","2","5","4","0","69","14814"
"Kenley Jansen","Dodgers","5","3","3.71","62","0","0","0","33","0","8","63.0","263","51","28","26","9","16","0","4","2","3","80","3096"
"Richard Rodriguez","Pirates","4","5","3.72","72","0","0","0","1","16","4","65.1","285","65","30","27","14","23","3","2","1","0","63","13549"
"Carlos Estevez","Rockies","2","2","3.75","71","0","0","0","0","11","2","72.0","308","70","34","30","12","23","1","1","1","1","81","14542"
"Robert Stephenson","Reds","3","2","3.76","57","0","0","0","0","11","4","64.2","262","43","30","27","9","24","4","0","3","0","81","13594"
"Andrew Chafin","Diamondbacks","2","2","3.76","77","0","0","0","0","23","4","52.2","225","52","23","22","6","18","0","2","2","0","68","12988"
"Tyler Webb","Cardinals","2","1","3.76","65","0","0","0","1","8","0","55.0","221","33","23","23","7","23","3","2","2","0","48","14974"
"Josh Tomlin","Braves","2","1","3.77","50","0","0","0","2","7","2","76.1","307","78","34","32","14","7","0","0","2","0","48","9388"
"Matt Barnes","Red Sox","5","4","3.78","70","0","0","0","4","26","8","64.1","285","51","29","27","8","38","2","2","13","1","110","12863"
"Marcus Walden","Red Sox","9","2","3.81","70","0","0","0","2","6","4","78.0","327","61","38","33","6","32","1","5","6","1","76","8004"
"Ryne Harper","Twins","4","2","3.81","61","0","0","0","1","12","3","54.1","225","54","25","23","7","10","0","1","5","0","50","12680"
"Luke Jackson","Braves","9","2","3.84","70","0","0","0","18","9","7","72.2","315","76","34","31","10","26","4","2","3","0","106","11752"
"Ryan Yarbrough","Rays","8","1","3.86","14","0","0","0","0","0","0","56.0","223","48","26","24","6","9","1","1","0","0","46","16502"
"Roenis Elias","- - -","4","2","3.96","48","0","0","0","14","2","3","50.0","216","46","32","22","10","18","1","1","1","1","47","12673"
"Ty Buttrey","Angels","6","7","3.98","72","0","0","0","2","26","4","72.1","309","69","34","32","8","23","0","5","6","0","84","14719"
"Freddy Peralta","Brewers","5","1","4.01","31","0","0","0","1","5","1","49.1","212","40","26","22","6","26","1","0","1","0","69","18679"
"Jared Hughes","- - -","5","5","4.04","72","0","0","0","1","7","3","71.1","289","57","37","32","13","27","1","2","1","0","54","9325"
"Sean Doolittle","Nationals","6","5","4.05","63","0","0","0","29","2","6","60.0","260","63","27","27","11","15","2","2","0","0","66","1581"
"Chaz Roe","Rays","1","3","4.06","71","0","0","0","1","23","4","51.0","229","49","27","23","3","31","2","1","3","1","65","9866"
"Alex Claudio","Brewers","2","2","4.06","83","0","0","0","0","22","3","62.0","267","57","29","28","8","24","2","6","1","0","44","12890"
"Nick Ramirez","Tigers","5","4","4.07","46","0","0","0","0","1","1","79.2","348","76","45","36","11","35","4","1","6","0","74","12575"
"Matt Magill","- - -","5","2","4.09","50","0","0","0","5","1","2","50.2","229","51","31","23","7","20","3","2","5","0","64","3950"
"Luis Cessa","Yankees","2","1","4.11","43","0","0","0","1","4","0","81.0","343","75","42","37","14","31","1","3","1","0","75","13345"
"Colten Brewer","Red Sox","1","2","4.12","58","0","0","0","0","6","1","54.2","253","59","26","25","6","34","1","2","9","0","52","12997"
"Brett Martin","Rangers","2","2","4.15","49","0","0","0","0","4","1","60.2","267","67","33","28","7","16","2","1","2","0","59","17369"
"Raisel Iglesias","Reds","3","12","4.16","68","0","0","0","34","3","6","67.0","279","61","31","31","12","21","4","2","3","0","89","17130"
"Tony Watson","Giants","2","2","4.17","60","0","0","0","0","25","3","54.0","231","56","26","25","9","12","1","5","1","0","41","3132"
"Wilmer Font","- - -","4","1","4.17","31","0","0","0","0","2","1","49.2","207","46","23","23","10","14","1","2","1","1","55","5257"
"Luis Perdomo","Padres","2","4","4.19","46","0","0","0","0","7","1","68.2","284","67","33","32","6","18","1","2","3","0","55","14682"
"Scott Barlow","Royals","3","3","4.22","61","0","0","0","1","14","2","70.1","310","64","33","33","6","37","3","3","5","1","92","14993"
"Joakim Soria","Athletics","2","4","4.24","70","0","0","0","1","21","5","68.0","273","49","32","32","8","20","1","3","5","1","77","6941"
"Felix Pena","Angels","8","1","4.26","15","0","0","0","0","1","0","67.2","283","55","35","32","11","23","0","2","7","0","77","13403"
"Blake Parker","- - -","3","2","4.32","58","0","0","0","10","13","1","58.1","243","50","29","28","11","22","0","3","4","0","61","5224"
"Chad Green","Yankees","4","3","4.35","39","0","0","0","2","4","0","49.2","211","48","26","24","6","11","0","4","1","0","66","15552"
"Luis Garcia","Angels","2","1","4.35","62","0","0","0","1","6","2","60.0","271","59","34","29","12","33","1","5","7","0","56","6984"
"Joe Jimenez","Tigers","4","7","4.37","66","0","0","0","9","15","5","59.2","257","56","33","29","13","23","1","4","1","1","82","15761"
"Zack Godley","- - -","3","0","4.42","24","0","0","0","2","0","0","53.0","218","44","26","26","9","20","0","3","0","0","40","14862"
"Jose Leclerc","Rangers","2","4","4.43","67","0","0","0","14","7","4","65.0","282","48","33","32","7","37","1","6","7","0","96","14524"
"Trevor Gott","Giants","7","0","4.44","50","0","0","0","1","1","1","52.2","214","41","26","26","4","17","0","2","1","0","57","15046"
"Andrew Miller","Cardinals","5","6","4.45","73","0","0","0","6","28","5","54.2","236","45","32","27","11","27","1","8","4","0","70","6785"
"Derek Law","Blue Jays","1","2","4.45","54","0","0","0","5","8","1","56.2","265","56","31","28","7","37","3","3","7","0","65","13133"
"Adam Cimber","Indians","6","3","4.45","68","0","0","0","1","19","2","56.2","244","56","29","28","6","19","2","4","0","0","41","15288"
"Kevin McCarthy","Royals","4","2","4.48","56","0","0","0","1","6","4","60.1","268","68","31","30","4","21","6","2","2","0","38","15240"
"Jairo Diaz","Rockies","6","4","4.53","56","0","0","0","5","7","3","57.2","245","56","34","29","7","19","0","2","4","0","63","12774"
"Wander Suero","Nationals","6","9","4.54","78","0","0","0","1","19","6","71.1","296","64","36","36","5","26","3","3","2","1","81","15855"
"Anthony Swarzak","- - -","3","4","4.56","59","0","0","0","4","17","3","53.1","234","52","30","27","12","27","3","0","2","0","52","7466"
"Joe Kelly","Dodgers","5","4","4.56","55","0","0","0","1","8","5","51.1","226","49","31","26","6","22","2","3","10","0","62","9761"
"Wade LeBlanc","Mariners","4","3","4.57","18","0","0","0","0","0","0","84.2","354","86","44","43","16","22","1","1","0","0","62","5221"
"Mychal Givens","Orioles","2","6","4.57","58","0","0","0","11","7","8","63.0","260","49","35","32","13","26","1","2","5","0","86","10430"
"Joe Biagini","- - -","3","2","4.59","63","0","0","0","1","10","2","64.2","281","71","35","33","14","26","3","1","3","0","60","13194"
"Sam Gaviglio","Blue Jays","4","2","4.61","52","0","0","0","0","3","0","95.2","392","85","51","49","18","22","0","4","0","1","88","12778"
"Mike Morin","- - -","1","3","4.62","52","0","0","0","1","8","1","50.2","210","46","29","26","6","10","0","4","2","0","26","13442"
"Jake Diekman","- - -","1","7","4.65","76","0","0","0","0","31","2","62.0","282","49","34","32","3","39","1","11","6","0","84","5003"
"Javy Guerra","- - -","3","1","4.66","51","0","0","0","2","5","0","67.2","287","67","36","35","10","17","3","1","3","0","57","7407"
"Josh Osich","White Sox","4","0","4.66","57","0","0","0","0","2","1","67.2","272","62","38","35","15","15","1","0","3","0","61","11528"
"Miguel Castro","Orioles","1","3","4.66","65","0","0","0","2","9","3","73.1","319","63","42","38","10","41","3","0","11","2","71","15684"
"Robert Gsellman","Mets","2","3","4.66","52","0","0","0","1","7","4","63.2","277","64","36","33","7","23","2","6","4","0","60","13696"
"Colin Poche","Rays","5","5","4.70","51","0","0","0","2","16","4","51.2","207","33","27","27","9","19","1","5","2","0","72","19403"
"Matt Andriese","Diamondbacks","5","5","4.71","54","0","0","0","1","4","3","70.2","310","72","37","37","8","27","4","3","9","2","79","12022"
"Jace Fry","White Sox","3","4","4.75","68","0","0","0","0","11","2","55.0","251","44","33","29","7","43","3","3","4","0","68","16159"
"Yoshihisa Hirano","Diamondbacks","5","5","4.75","62","0","0","0","1","15","5","53.0","233","51","31","28","7","22","2","3","2","0","61","19756"
"Joshua James","Astros","5","1","4.77","48","0","0","0","1","6","2","60.1","263","46","34","32","10","35","0","4","6","0","99","16794"
"Tommy Milone","Mariners","3","7","4.80","17","0","0","0","0","0","0","80.2","324","72","44","43","18","15","1","2","1","0","60","7608"
"T.J. McFarland","Diamondbacks","0","0","4.82","51","0","0","0","0","9","0","56.0","250","71","35","30","6","20","5","1","1","0","35","3237"
"Chris Devenski","Astros","2","2","4.84","60","0","0","0","0","7","1","67.0","287","64","36","36","13","21","0","3","2","0","72","12763"
"Ryan Brasier","Red Sox","2","4","4.85","62","0","0","0","7","9","4","55.2","241","51","33","30","9","21","1","3","3","0","61","5615"
"Blake Treinen","Athletics","6","5","4.91","57","0","0","0","16","3","5","58.2","266","58","33","32","9","37","1","1","1","0","59","12572"
"Tim Mayza","Blue Jays","1","3","4.91","68","0","0","0","0","18","1","51.1","227","45","29","28","8","27","2","1","4","0","55","15042"
"Chris Stratton","- - -","1","1","4.92","30","0","0","0","0","0","0","53.0","233","61","32","29","9","19","1","0","1","0","52","13761"
"Trevor Cahill","Angels","2","4","4.96","26","0","0","0","0","0","0","49.0","220","56","30","27","9","21","0","3","9","0","38","6249"
"Kyle Crick","Pirates","3","7","4.96","52","0","0","0","0","13","6","49.0","226","41","30","27","10","35","1","7","1","0","61","13182"
"Jeremy Jeffress","Brewers","3","4","5.02","48","0","0","0","1","12","3","52.0","225","54","32","29","5","17","0","5","1","0","46","9490"
"Matt Albers","Brewers","8","6","5.13","67","0","0","0","4","10","2","59.2","258","53","34","34","8","29","3","3","2","1","57","4300"
"Richard Bleier","Orioles","3","0","5.23","52","0","0","0","4","5","1","53.1","226","62","32","31","5","8","2","4","1","0","29","7803"
"Lou Trivino","Athletics","4","6","5.25","61","0","0","0","0","17","5","60.0","269","61","40","35","7","31","2","3","7","0","57","15043"
"Trey Wingenter","Padres","1","3","5.26","50","0","0","0","1","16","3","49.2","211","33","29","29","5","26","0","5","4","0","70","17793"
"Paul Fry","Orioles","1","9","5.34","66","0","0","0","3","11","5","57.1","255","54","39","34","7","29","1","6","2","0","55","15832"
"Chad Bettis","Rockies","1","4","5.36","36","0","0","0","1","4","2","50.1","223","58","33","30","8","13","2","5","2","0","33","10587"
"Bryan Shaw","Rockies","3","2","5.38","70","0","0","0","1","12","5","72.0","311","69","44","43","12","29","1","5","1","0","58","8110"
"Robbie Erlin","Padres","0","0","5.40","36","0","0","0","0","5","1","53.1","241","69","35","32","6","14","0","1","3","0","50","10354"
"Brad Brach","- - -","5","4","5.47","58","0","0","0","0","6","3","54.1","242","57","33","33","4","31","2","1","3","0","60","6627"
"Clay Holmes","Pirates","1","2","5.58","35","0","0","0","0","1","1","50.0","240","45","36","31","5","36","1","9","4","0","56","13649"
"Edwin Diaz","Mets","2","7","5.59","66","0","0","0","26","1","7","58.0","254","58","36","36","15","22","3","4","3","0","99","14710"
"Nestor Cortes","Yankees","5","1","5.60","32","0","0","0","0","1","1","64.1","285","69","40","40","16","27","1","1","1","0","67","17874"
"Jeurys Familia","Mets","4","2","5.70","66","0","0","0","0","14","4","60.0","274","62","39","38","7","42","4","3","3","0","63","5114"
"Shawn Armstrong","- - -","1","1","5.74","55","0","0","0","4","9","5","58.0","271","66","38","37","8","29","1","4","4","1","63","12857"
"Kelvin Herrera","White Sox","3","3","6.14","57","0","0","0","1","6","2","51.1","235","60","36","35","8","23","6","1","8","2","53","6033"
"Adam Conley","Marlins","2","11","6.53","60","0","0","0","2","6","2","60.2","283","76","45","44","10","29","6","3","2","0","53","14457"
"Wei-Yin Chen","Marlins","0","1","6.59","45","0","0","0","0","3","0","68.1","307","87","54","50","15","18","2","5","2","0","63","13071"
