"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Mychal Givens","Orioles","2","6","4.57","58","0","0","0","11","7","8","63.0","260","49","35","32","13","26","1","2","5","0","86","10430"
"Paul Sewald","Mets","1","1","4.58","17","0","0","0","1","0","0","19.2","80","18","10","10","3","3","0","1","0","0","22","13892"
"Erick Fedde","Nationals","0","0","4.58","9","0","0","0","0","0","0","17.2","70","12","9","9","1","8","0","0","0","0","10","17425"
"Joe Biagini","- - -","3","2","4.59","63","0","0","0","1","10","2","64.2","281","71","35","33","14","26","3","1","3","0","60","13194"
"Sam Gaviglio","Blue Jays","4","2","4.61","52","0","0","0","0","3","0","95.2","392","85","51","49","18","22","0","4","0","1","88","12778"
"Mike Morin","- - -","1","3","4.62","52","0","0","0","1","8","1","50.2","210","46","29","26","6","10","0","4","2","0","26","13442"
"Framber Valdez","Astros","2","3","4.63","18","0","0","0","0","0","0","35.0","161","36","23","18","2","21","0","1","2","1","29","17295"
"Jake Diekman","- - -","1","7","4.65","76","0","0","0","0","31","2","62.0","282","49","34","32","3","39","1","11","6","0","84","5003"
"Brusdar Graterol","Twins","1","1","4.66","10","0","0","0","0","1","0","9.2","40","10","5","5","1","2","1","1","2","0","10","20367"
"Javy Guerra","- - -","3","1","4.66","51","0","0","0","2","5","0","67.2","287","67","36","35","10","17","3","1","3","0","57","7407"
"Josh Osich","White Sox","4","0","4.66","57","0","0","0","0","2","1","67.2","272","62","38","35","15","15","1","0","3","0","61","11528"
"Joel Kuhnel","Reds","1","0","4.66","11","0","0","0","0","1","0","9.2","42","8","5","5","1","5","0","0","0","0","9","19995"
"Miguel Castro","Orioles","1","3","4.66","65","0","0","0","2","9","3","73.1","319","63","42","38","10","41","3","0","11","2","71","15684"
"Robert Gsellman","Mets","2","3","4.66","52","0","0","0","1","7","4","63.2","277","64","36","33","7","23","2","6","4","0","60","13696"
"Colin Poche","Rays","5","5","4.70","51","0","0","0","2","16","4","51.2","207","33","27","27","9","19","1","5","2","0","72","19403"
"Matt Andriese","Diamondbacks","5","5","4.71","54","0","0","0","1","4","3","70.2","310","72","37","37","8","27","4","3","9","2","79","12022"
"Tony Sipp","Nationals","1","2","4.71","36","0","0","0","0","9","1","21.0","92","19","12","11","1","9","0","1","1","0","18","8280"
"Jace Fry","White Sox","3","4","4.75","68","0","0","0","0","11","2","55.0","251","44","33","29","7","43","3","3","4","0","68","16159"
"Jesus Tinoco","Rockies","0","3","4.75","24","0","0","0","1","2","0","36.0","161","36","23","19","12","22","1","1","1","0","28","16300"
